user id,Week number,Post_fat_pct,Post_muscle_kg,Post_weight_kg,daily_avg_kcal,sleep_avg_hours,free_text_feedback,notes
P01,Week_2026_06,16.45,29.36,68.18,2191.2,7.96,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw noticeable changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1961 kcal/day, 5-min post-meal walks, and aim for consistent 8.1 h sleep."
P01,Week_2026_07,16.47,29.45,68.29,2335.1,8.1,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Margoog (light) + salad' and 'Thareed (lean beef + veg)' sat well; Removing frictions improved follow-through. I saw noticeable changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2122 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 8.0 h sleep."
P01,Week_2026_08,16.49,29.56,68.39,2384.1,8.07,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw clear changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2178 kcal/day, 5-min post-meal walks, and aim for consistent 8.1 h sleep."
P01,Week_2026_09,16.52,29.67,68.56,2170.4,8.28,"Felt measured this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw promising changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1962 kcal/day, season with za’atar to vary flavor, and aim for consistent 8.1 h sleep."
P01,Week_2026_10,16.57,29.82,68.83,2366.2,8.54,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw mixed changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2129 kcal/day, lighten late snacks, and aim for consistent 8.3 h sleep."
P01,Week_2026_11,16.62,29.93,69.08,2310.1,8.43,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Margoog (light) + salad' and 'Thareed (lean beef + veg)' sat well; Removing frictions improved follow-through. I saw clear changes in motivation. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2122 kcal/day, track water more tightly, and aim for consistent 8.5 h sleep."
P01,Week_2026_12,16.67,30.01,69.32,2344.7,8.51,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Labneh + cucumbers + olives + bread' and 'Tuna salad + lemon + olive oil' sat well; Removing frictions improved follow-through. I saw mixed changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2105 kcal/day, track water more tightly, and aim for consistent 8.4 h sleep."
P01,Week_2026_13,16.7,30.12,69.5,2340.9,8.64,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw promising changes in pump. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2107 kcal/day, 5-min post-meal walks, and aim for consistent 8.5 h sleep."
P01,Week_2026_14,16.73,30.25,69.65,2345.2,8.62,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Tuna salad + lemon + olive oil' and 'Margoog (light) + salad' sat well; Removing frictions improved follow-through. I saw mixed changes in appetite. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2158 kcal/day, add 10–15 min mobility, and aim for consistent 8.6 h sleep."
P01,Week_2026_15,16.78,30.41,69.9,2183.8,8.63,"Felt measured this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw gradual changes in pump. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2014 kcal/day, add 10–15 min mobility, and aim for consistent 8.6 h sleep."
P01,Week_2026_16,16.81,30.56,70.06,2380.2,8.8,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw gradual changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2150 kcal/day, season with za’atar to vary flavor, and aim for consistent 8.6 h sleep."
P01,Week_2026_17,16.83,30.67,70.17,2390,8.84,"Felt optimistic this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Masoub (banana+dates+milk)' and 'Chicken Kabsa (lean rice)' sat well; Removing frictions improved follow-through. I saw promising changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2154 kcal/day, front-load protein earlier, and aim for consistent 8.8 h sleep."
P01,Week_2026_18,16.88,30.75,70.43,2420.8,8.95,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Ful medames + tamees' and 'Balila cup (chickpeas)' sat well; Removing frictions improved follow-through. I saw gradual changes in pump. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2137 kcal/day, add 10–15 min mobility, and aim for consistent 8.8 h sleep."
P01,Week_2026_19,16.91,30.86,70.57,2302.9,9.19,"Felt disciplined this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw noticeable changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2050 kcal/day, lighten late snacks, and aim for consistent 8.9 h sleep."
P01,Week_2026_20,16.95,30.97,70.78,2245,9.05,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Ful medames + tamees' and 'Balila cup (chickpeas)' sat well; Removing frictions improved follow-through. I saw mixed changes in pump. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2038 kcal/day, swap one rice meal for jareesh mid-week, and aim for consistent 9.2 h sleep."
P01,Week_2026_21,17,31.06,71.05,2416.6,8.96,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw noticeable changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2192 kcal/day, swap one rice meal for jareesh mid-week, and aim for consistent 9.1 h sleep."
P01,Week_2026_22,17.03,31.19,71.23,2375.4,9.21,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Tuna salad + lemon + olive oil' and 'Margoog (light) + salad' sat well; Removing frictions improved follow-through. I saw mixed changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2100 kcal/day, swap one rice meal for jareesh mid-week, and aim for consistent 9.0 h sleep."
P01,Week_2026_23,17.05,31.31,71.35,2196.4,9.02,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw clear changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2032 kcal/day, lighten late snacks, and aim for consistent 9.2 h sleep."
P01,Week_2026_24,17.08,31.45,71.5,2515.9,9.02,"Felt optimistic this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Balila cup (chickpeas)' and 'Grilled Hammour + rice + salad' sat well; Removing frictions improved follow-through. I saw strong changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2256 kcal/day, 5-min post-meal walks, and aim for consistent 9.0 h sleep."
P01,Week_2026_25,17.12,31.57,71.71,2314.4,9.18,"Felt focused this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw promising changes in appetite. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2147 kcal/day, front-load protein earlier, and aim for consistent 9.0 h sleep."
P01,Week_2026_26,17.15,31.74,71.87,2212.5,9,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw mixed changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2042 kcal/day, add 10–15 min mobility, and aim for consistent 9.2 h sleep."
P01,Week_2026_27,17.17,31.85,72,2562.9,9.08,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw clear changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2292 kcal/day, track water more tightly, and aim for consistent 9.0 h sleep."
P01,Week_2026_28,17.19,31.96,72.12,2506.5,9.12,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Masoub (banana+dates+milk)' and 'Chicken Kabsa (lean rice)' sat well; Removing frictions improved follow-through. I saw promising changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2228 kcal/day, lighten late snacks, and aim for consistent 9.1 h sleep."
P01,Week_2026_29,17.23,32.07,72.33,2501.6,8.92,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Margoog (light) + salad' and 'Thareed (lean beef + veg)' sat well; Removing frictions improved follow-through. I saw mixed changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2223 kcal/day, prep breakfast the night before, and aim for consistent 9.1 h sleep."
P01,Week_2026_30,17.27,32.19,72.54,2362.9,8.86,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw clear changes in motivation. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2184 kcal/day, lighten late snacks, and aim for consistent 8.9 h sleep."
P01,Week_2026_31,17.29,32.34,72.64,2273.9,8.89,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw gradual changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2067 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 8.9 h sleep."
P01,Week_2026_32,17.32,32.49,72.84,2461.3,9.04,"Felt measured this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Labneh + cucumbers + olives + bread' and 'Tuna salad + lemon + olive oil' sat well; Removing frictions improved follow-through. I saw mixed changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2183 kcal/day, lighten late snacks, and aim for consistent 8.9 h sleep."
P01,Week_2026_33,17.34,32.58,72.97,2435.5,9.02,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw noticeable changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2163 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 9.0 h sleep."
P01,Week_2026_34,17.38,32.69,73.22,2480.5,9.3,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw clear changes in sleep. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2210 kcal/day, add 10–15 min mobility, and aim for consistent 9.0 h sleep."
P01,Week_2026_35,17.42,32.84,73.43,2476.4,9.5,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Labneh + cucumbers + olives + bread' and 'Tuna salad + lemon + olive oil' sat well; Removing frictions improved follow-through. I saw mixed changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2217 kcal/day, track water more tightly, and aim for consistent 9.3 h sleep."
P01,Week_2026_36,17.44,32.93,73.57,2504.6,9.66,"Felt optimistic this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Margoog (light) + salad' and 'Thareed (lean beef + veg)' sat well; Removing frictions improved follow-through. I saw promising changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2286 kcal/day, prep breakfast the night before, and aim for consistent 9.5 h sleep."
P01,Week_2026_37,17.46,33.1,73.71,2363.3,9.8,"Felt disciplined this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Ful medames + tamees' and 'Balila cup (chickpeas)' sat well; Removing frictions improved follow-through. I saw clear changes in sleep. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2134 kcal/day, season with za’atar to vary flavor, and aim for consistent 9.7 h sleep."
P01,Week_2026_38,17.48,33.23,73.81,2362.6,9.86,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw mixed changes in pump. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2116 kcal/day, front-load protein earlier, and aim for consistent 9.8 h sleep."
P01,Week_2026_39,17.52,33.36,74.03,2409.6,10.04,"Felt optimistic this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw promising changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2174 kcal/day, season with za’atar to vary flavor, and aim for consistent 9.9 h sleep."
P01,Week_2026_40,17.55,33.49,74.19,2396.7,10.17,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Masoub (banana+dates+milk)' and 'Chicken Kabsa (lean rice)' sat well; Removing frictions improved follow-through. I saw mixed changes in appetite. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2168 kcal/day, season with za’atar to vary flavor, and aim for consistent 10.0 h sleep."
P01,Week_2026_41,17.58,33.58,74.34,2592.4,10.46,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Labneh + cucumbers + olives + bread' and 'Tuna salad + lemon + olive oil' sat well; Removing frictions improved follow-through. I saw promising changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2313 kcal/day, 5-min post-meal walks, and aim for consistent 10.2 h sleep."
P01,Week_2026_42,17.61,33.66,74.53,2449.9,10.71,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Balila cup (chickpeas)' and 'Grilled Hammour + rice + salad' sat well; Removing frictions improved follow-through. I saw mixed changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2264 kcal/day, lighten late snacks, and aim for consistent 10.5 h sleep."
P01,Week_2026_43,17.63,33.8,74.68,2343.6,10.85,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Ful medames + tamees' and 'Balila cup (chickpeas)' sat well; Removing frictions improved follow-through. I saw gradual changes in appetite. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2114 kcal/day, 5-min post-meal walks, and aim for consistent 10.7 h sleep."
P01,Week_2026_44,17.67,33.92,74.94,2464,11.07,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Tuna salad + lemon + olive oil' and 'Margoog (light) + salad' sat well; Removing frictions improved follow-through. I saw gradual changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2195 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 10.8 h sleep."
P01,Week_2026_45,17.69,34.08,75.06,2522.9,11.25,"Felt disciplined this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw noticeable changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2306 kcal/day, 5-min post-meal walks, and aim for consistent 11.1 h sleep."
P01,Week_2026_46,17.71,34.2,75.18,2575.3,11.32,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Masoub (banana+dates+milk)' and 'Chicken Kabsa (lean rice)' sat well; Removing frictions improved follow-through. I saw clear changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2337 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 11.2 h sleep."
P01,Week_2026_47,17.75,34.3,75.44,2563.8,11.17,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Tuna salad + lemon + olive oil' and 'Margoog (light) + salad' sat well; Removing frictions improved follow-through. I saw strong changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2304 kcal/day, 5-min post-meal walks, and aim for consistent 11.3 h sleep."
P01,Week_2026_48,17.78,34.44,75.65,2476.9,11.09,"Felt disciplined this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw clear changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2240 kcal/day, season with za’atar to vary flavor, and aim for consistent 11.2 h sleep."
P02,Week_2025_46,19.63,16.46,49.33,2714.1,7.53,"This week felt disciplined. With mostly consistent adherence (~2714 kcal/day), I completed 4 sessions (e.g., W25, W21, W25). Stuck to basics and removed small frictions. I noticed gradual changes in recovery. Given my goal, I tried to push progressive overload and protein timing. Average sleep was ~7.5 h; training quality tracked well with meal timing and hydration.",Add a 20–30 g protein snack post-workout and a slow-digesting protein near bedtime. Insert a 10–15 min mobility block on rest days to keep joints happy. Maintain a consistent sleep window to preserve 7–8 h nights. Keep meals simple; adjust seasoning and veggies for variety. Keep recipes under 5 steps; reuse the same spice mix to reduce friction. Prep tomorrow’s breakfast the night before.
P02,Week_2025_47,19.68,16.62,49.57,1803.2,7.52,"Felt optimistic this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw clear changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1685 kcal/day, season with za’atar to vary flavor, and aim for consistent 7.5 h sleep."
P02,Week_2025_48,19.71,16.74,49.72,1748,7.76,"Felt measured this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw strong changes in pump. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1636 kcal/day, season with za’atar to vary flavor, and aim for consistent 7.5 h sleep."
P02,Week_2025_49,19.76,16.82,49.95,1704.7,7.83,"Felt focused this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Jareesh with laban' and 'Ful medames + tamees' sat well; Removing frictions improved follow-through. I saw noticeable changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1650 kcal/day, front-load protein earlier, and aim for consistent 7.8 h sleep."
P02,Week_2025_50,19.79,16.93,50.09,1736.4,7.69,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Margoog (light) + salad' and 'Thareed (lean beef + veg)' sat well; Removing frictions improved follow-through. I saw gradual changes in sleep. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1580 kcal/day, prep breakfast the night before, and aim for consistent 7.8 h sleep."
P02,Week_2025_51,19.81,17.08,50.19,1771.6,7.56,"Felt up-and-down this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Balila cup (chickpeas)' and 'Grilled Hammour + rice + salad' sat well; Removing frictions improved follow-through. I saw clear changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1625 kcal/day, season with za’atar to vary flavor, and aim for consistent 7.7 h sleep."
P02,Week_2025_52,19.85,17.21,50.4,1675.5,7.59,"Felt measured this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw mixed changes in appetite. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1528 kcal/day, front-load protein earlier, and aim for consistent 7.6 h sleep."
P02,Week_2026_01,19.9,17.31,50.65,1703.1,7.48,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Balila cup (chickpeas)' and 'Grilled Hammour + rice + salad' sat well; Removing frictions improved follow-through. I saw gradual changes in pump. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1574 kcal/day, front-load protein earlier, and aim for consistent 7.6 h sleep."
