user id,Week number,1st_meal,1st_meal_carbs_g,1st_meal_fat_g,1st_meal_protein_g,1st_meal_sodium_mg,1st_meal_fiber_g,1st_meal_kcal_target_kcal,2nd_meal,2nd_meal_carbs_g,2nd_meal_fat_g,2nd_meal_protein_g,2nd_meal_sodium_mg,2nd_meal_fiber_g,2nd_meal_kcal_target_kcal,3rd_meal,3rd_meal_carbs_g,3rd_meal_fat_g,3rd_meal_protein_g,3rd_meal_sodium_mg,3rd_meal_fiber_g,3rd_meal_kcal_target_kcal,4th_meal,4th_meal_carbs_g,4th_meal_fat_g,4th_meal_protein_g,4th_meal_sodium_mg,4th_meal_fiber_g,4th_meal_kcal_target_kcal,Total_carbs_g,Total_fat_g,Total_protein_g,Total_sodium_mg,Total_fiber_g,Total_kcal_target_kcal,BMI,Cook,Note
P01,Week_2026_04,Balila cup (chickpeas),60.1,13.8,18.0,493.3,11.0,299.0,Grilled Hammour + rice + salad,90.3,10.7,42.1,567.1,9.1,651.5,Labneh + cucumbers + olives + bread,56.2,14.1,24.8,601.5,5.5,482.7,Tuna salad + lemon + olive oil,38.9,16.8,35.8,417.1,7.8,530.0,245.6,55.4,120.6,2079.0,33.3,1963.2,,,Fallback plan.
P01,Week_2026_05,Labneh + cucumbers + olives + bread,68.5,13.9,36.1,746.0,4.2,584.0,Tuna salad + lemon + olive oil,35.2,8.7,20.4,589.6,4.7,380.0,Margoog (light) + salad,56.1,22.6,31.6,429.8,13.7,659.9,Thareed (lean beef + veg),108.9,18.6,40.6,269.6,9.5,539.0,268.6,63.8,128.6,2035.0,32.1,2162.9,,,Fallback plan.
P01,Week_2026_06,Chicken Kabsa (lean rice),53.4,21.1,46.9,274.3,3.5,387.6,Jareesh with laban,27.5,21.5,38.3,385.7,12.5,682.8,Ful medames + tamees,98.9,9.1,16.7,671.5,12.2,382.1,Balila cup (chickpeas),56.9,5.8,22.2,439.5,4.9,508.4,236.8,57.5,124.1,1771.0,33.2,1960.9,,,Fallback plan.
P01,Week_2026_07,Margoog (light) + salad,54.3,11.8,36.7,278.8,3.0,738.7,Thareed (lean beef + veg),47.0,20.6,46.3,602.2,11.0,502.1,Harees (light) + salad,87.3,14.6,13.9,513.6,6.3,533.7,Egg shakshouka + bread,69.1,15.6,35.0,561.4,6.1,347.8,257.6,62.7,131.9,1956.0,26.4,2122.3,,,Fallback plan.
P01,Week_2026_08,Grilled Hammour + rice + salad,48.2,29.4,22.4,289.7,5.9,366.7,Labneh + cucumbers + olives + bread,72.1,9.2,17.9,674.8,9.6,804.3,Tuna salad + lemon + olive oil,42.9,7.6,41.6,646.1,7.9,712.4,Margoog (light) + salad,103.7,22.3,41.6,537.4,9.7,294.6,266.9,68.5,123.5,2148.0,33.0,2178.0,,,Fallback plan.
P01,Week_2026_09,Jareesh with laban,60.6,11.7,18.9,584.2,6.5,442.4,Ful medames + tamees,28.9,12.3,42.8,230.0,7.9,641.9,Balila cup (chickpeas),44.6,13.1,31.4,687.7,3.3,333.3,Grilled Hammour + rice + salad,96.0,19.2,40.8,547.1,7.0,544.4,230.1,56.2,133.9,2049.0,24.7,1962.0,,,Fallback plan.
P01,Week_2026_10,Chicken Kabsa (lean rice),48.3,21.0,30.5,280.0,2.9,389.7,Jareesh with laban,48.2,7.9,34.4,321.9,6.5,628.0,Ful medames + tamees,74.9,25.9,37.9,478.4,9.3,582.9,Balila cup (chickpeas),80.1,12.8,25.8,707.7,9.9,528.0,251.5,67.6,128.5,1788.0,28.7,2128.6,,,Fallback plan.
P01,Week_2026_11,Margoog (light) + salad,83.8,17.3,30.6,390.1,8.2,330.2,Thareed (lean beef + veg),67.1,10.5,19.2,526.1,14.6,714.5,Harees (light) + salad,35.1,17.7,31.6,150.0,5.7,820.1,Egg shakshouka + bread,67.1,22.0,43.9,581.9,4.6,256.9,253.1,67.5,125.4,1648.0,33.1,2121.7,,,Fallback plan.
P01,Week_2026_12,Labneh + cucumbers + olives + bread,53.7,22.0,16.5,506.7,10.2,614.2,Tuna salad + lemon + olive oil,94.6,20.4,36.0,415.9,5.6,688.1,Margoog (light) + salad,69.2,8.0,26.1,999.0,9.9,318.3,Thareed (lean beef + veg),44.3,9.9,50.1,369.4,2.9,484.3,261.8,60.3,128.8,2291.0,28.6,2105.0,,,Fallback plan.
P01,Week_2026_13,Chicken Kabsa (lean rice),77.4,17.9,37.3,346.1,9.2,444.5,Jareesh with laban,82.9,15.9,42.6,319.2,6.9,545.0,Ful medames + tamees,34.6,11.2,25.5,535.8,5.8,789.3,Balila cup (chickpeas),62.5,13.8,31.6,592.9,9.4,327.8,257.4,58.8,137.0,1794.0,31.2,2106.6,,,Fallback plan.
P01,Week_2026_14,Tuna salad + lemon + olive oil,104.2,14.3,17.0,379.9,6.9,570.5,Margoog (light) + salad,31.0,14.3,39.1,421.5,10.2,599.6,Thareed (lean beef + veg),71.3,19.8,40.8,394.0,10.5,554.9,Harees (light) + salad,49.1,17.9,37.6,450.6,3.3,432.6,255.6,66.3,134.6,1646.0,30.9,2157.6,,,Fallback plan.
P01,Week_2026_15,Jareesh with laban,69.9,10.6,36.2,539.9,12.2,846.3,Ful medames + tamees,34.2,19.4,38.8,329.8,3.6,349.3,Balila cup (chickpeas),46.0,15.6,28.0,749.5,5.4,507.5,Grilled Hammour + rice + salad,72.3,18.9,33.0,611.7,8.7,311.0,222.4,64.5,136.0,2231.0,30.0,2014.0,,,Fallback plan.
P01,Week_2026_16,Grilled Hammour + rice + salad,51.1,21.9,23.1,346.4,9.1,492.4,Labneh + cucumbers + olives + bread,70.7,9.3,39.3,393.7,4.1,495.6,Tuna salad + lemon + olive oil,73.5,10.8,27.5,648.3,7.2,505.6,Margoog (light) + salad,64.3,25.9,35.4,864.7,3.5,656.9,259.6,67.9,125.3,2253.0,24.0,2150.5,,,Fallback plan.
P01,Week_2026_17,Masoub (banana+dates+milk),44.2,22.9,16.3,261.8,6.8,732.2,Chicken Kabsa (lean rice),48.2,11.7,45.3,668.2,11.8,496.9,Jareesh with laban,78.2,21.6,52.1,450.2,8.2,665.0,Ful medames + tamees,90.3,8.2,19.0,478.8,6.8,259.5,260.9,64.3,132.8,1859.0,33.6,2153.6,,,Fallback plan.
P01,Week_2026_18,Ful medames + tamees,88.4,10.5,20.0,618.0,6.7,353.0,Balila cup (chickpeas),86.4,23.1,24.4,449.0,4.0,337.9,Grilled Hammour + rice + salad,29.6,15.0,42.7,556.7,5.9,836.2,Labneh + cucumbers + olives + bread,52.3,13.3,51.1,286.3,7.4,609.7,256.7,61.9,138.2,1910.0,24.0,2136.8,,,Fallback plan.
P01,Week_2026_19,Chicken Kabsa (lean rice),86.0,17.8,15.6,345.4,3.9,807.0,Jareesh with laban,60.4,7.2,32.5,457.9,8.7,296.4,Ful medames + tamees,68.0,18.6,42.2,708.3,9.7,398.9,Balila cup (chickpeas),24.9,20.1,39.9,781.3,7.5,548.1,239.3,63.6,130.2,2293.0,29.8,2050.4,,,Fallback plan.
P01,Week_2026_20,Ful medames + tamees,38.4,11.6,13.1,620.4,8.3,444.1,Balila cup (chickpeas),101.2,19.9,42.7,537.3,10.0,349.8,Grilled Hammour + rice + salad,48.0,11.9,28.5,432.5,6.7,840.0,Labneh + cucumbers + olives + bread,56.2,17.1,45.1,578.9,9.0,403.6,243.8,60.5,129.5,2169.0,34.0,2037.5,,,Fallback plan.
P01,Week_2026_21,Jareesh with laban,62.7,22.8,25.0,362.5,7.5,704.4,Ful medames + tamees,57.2,10.5,46.2,365.4,15.0,432.1,Balila cup (chickpeas),71.5,23.1,26.7,711.2,5.7,348.5,Grilled Hammour + rice + salad,65.9,12.2,38.5,904.9,6.7,707.5,257.3,68.6,136.5,2344.0,34.9,2192.5,,,Fallback plan.
P01,Week_2026_22,Tuna salad + lemon + olive oil,67.6,13.8,34.0,697.1,7.8,490.1,Margoog (light) + salad,50.1,19.5,32.9,276.5,8.8,621.8,Thareed (lean beef + veg),56.1,14.9,41.7,468.4,4.8,334.6,Harees (light) + salad,75.2,14.3,27.0,436.0,8.0,654.0,249.1,62.4,135.6,1878.0,29.3,2100.5,,,Fallback plan.
P01,Week_2026_23,Grilled Hammour + rice + salad,60.2,21.3,25.7,429.1,7.9,391.1,Labneh + cucumbers + olives + bread,69.8,18.6,32.3,327.2,5.3,560.3,Tuna salad + lemon + olive oil,42.9,10.5,35.1,820.2,14.6,689.4,Margoog (light) + salad,62.1,9.7,44.3,728.5,6.1,391.2,235.0,60.2,137.5,2305.0,34.0,2032.0,,,Fallback plan.
P01,Week_2026_24,Balila cup (chickpeas),76.1,7.7,31.3,528.0,6.1,787.9,Grilled Hammour + rice + salad,77.3,22.0,37.9,953.8,3.1,300.0,Labneh + cucumbers + olives + bread,55.7,19.5,37.2,244.1,12.0,380.9,Tuna salad + lemon + olive oil,62.3,21.6,27.1,578.1,7.1,787.1,271.4,70.7,133.5,2304.0,28.2,2255.9,,,Fallback plan.
P01,Week_2026_25,Jareesh with laban,66.9,16.7,22.8,861.3,6.6,776.2,Ful medames + tamees,59.4,14.3,30.8,673.6,11.3,621.2,Balila cup (chickpeas),85.5,11.5,31.2,347.4,7.5,400.3,Grilled Hammour + rice + salad,39.2,26.1,46.4,449.7,4.1,349.3,251.0,68.7,131.2,2332.0,29.4,2147.0,,,Fallback plan.
P01,Week_2026_26,Grilled Hammour + rice + salad,32.4,17.3,39.2,772.0,5.1,582.8,Labneh + cucumbers + olives + bread,99.1,9.6,34.2,672.9,6.0,578.9,Tuna salad + lemon + olive oil,77.5,11.6,24.3,277.1,16.2,556.8,Margoog (light) + salad,36.8,19.0,37.6,400.0,5.9,323.4,245.8,57.5,135.3,2122.0,33.1,2041.9,,,Fallback plan.
P01,Week_2026_27,Jareesh with laban,105.0,15.1,30.4,633.8,10.1,457.9,Ful medames + tamees,73.8,32.6,34.9,350.1,7.6,882.4,Balila cup (chickpeas),54.2,15.1,40.7,472.0,7.4,449.6,Grilled Hammour + rice + salad,36.0,9.3,35.8,231.1,8.9,502.0,269.0,72.1,141.8,1687.0,34.0,2291.9,,,Fallback plan.
P01,Week_2026_28,Masoub (banana+dates+milk),46.5,15.1,26.8,772.5,7.7,421.7,Chicken Kabsa (lean rice),60.3,9.3,42.9,272.4,6.4,873.8,Jareesh with laban,95.7,17.4,39.2,757.4,8.5,263.9,Ful medames + tamees,73.7,24.8,22.0,545.7,10.3,669.0,276.3,66.6,130.9,2348.0,32.9,2228.3,,,Fallback plan.
P01,Week_2026_29,Margoog (light) + salad,26.4,15.2,32.8,650.9,6.1,420.4,Thareed (lean beef + veg),73.9,24.4,43.0,544.1,6.9,755.4,Harees (light) + salad,82.2,18.1,20.1,264.1,8.9,483.9,Egg shakshouka + bread,85.5,11.4,36.4,605.9,10.0,563.2,268.0,69.1,132.3,2065.0,31.9,2222.9,,,Fallback plan.
P01,Week_2026_30,Chicken Kabsa (lean rice),74.9,11.3,47.6,405.5,5.4,368.4,Jareesh with laban,37.0,23.5,29.8,479.5,15.4,589.2,Ful medames + tamees,79.2,24.2,44.6,324.1,6.4,315.4,Balila cup (chickpeas),59.6,10.1,18.0,477.9,6.0,911.2,250.8,69.0,140.0,1687.0,33.2,2184.2,,,Fallback plan.
P01,Week_2026_31,Jareesh with laban,65.4,10.5,21.9,498.8,4.4,262.6,Ful medames + tamees,81.3,12.3,42.6,580.8,10.5,441.7,Balila cup (chickpeas),56.9,17.1,38.4,557.8,10.9,661.3,Grilled Hammour + rice + salad,23.2,24.7,41.7,223.6,9.2,701.2,226.8,64.6,144.6,1861.0,35.1,2066.8,,,Fallback plan.
P01,Week_2026_32,Labneh + cucumbers + olives + bread,107.8,9.3,24.8,573.3,9.7,471.2,Tuna salad + lemon + olive oil,69.3,20.1,16.4,607.8,9.6,688.2,Margoog (light) + salad,41.5,21.3,55.9,816.2,7.0,617.1,Thareed (lean beef + veg),43.8,16.9,34.2,273.7,3.1,406.2,262.4,67.6,131.2,2271.0,29.4,2182.8,,,Fallback plan.
P01,Week_2026_33,Jareesh with laban,105.2,23.5,66.6,683.7,8.9,236.4,Ful medames + tamees,65.4,6.7,35.8,719.6,8.1,684.6,Balila cup (chickpeas),35.9,17.7,28.6,592.2,2.9,458.9,Grilled Hammour + rice + salad,32.7,20.8,15.6,362.6,6.4,782.8,239.3,68.8,146.6,2358.0,26.3,2162.8,,,Fallback plan.
P01,Week_2026_34,Grilled Hammour + rice + salad,92.5,12.8,16.8,420.8,9.9,353.8,Labneh + cucumbers + olives + bread,34.8,15.5,43.2,574.5,2.6,739.6,Tuna salad + lemon + olive oil,77.2,21.4,32.3,391.8,6.3,858.4,Margoog (light) + salad,50.3,17.8,53.5,777.9,9.7,258.3,254.8,67.5,145.8,2165.0,28.5,2210.1,,,Fallback plan.
P01,Week_2026_35,Labneh + cucumbers + olives + bread,93.3,16.1,20.6,209.0,7.8,413.7,Tuna salad + lemon + olive oil,39.4,11.9,20.7,840.7,6.3,436.5,Margoog (light) + salad,51.1,11.7,25.9,583.4,11.5,730.7,Thareed (lean beef + veg),83.7,25.8,72.0,275.9,8.9,636.1,267.5,65.6,139.2,1909.0,34.5,2217.1,,,Fallback plan.
P01,Week_2026_36,Margoog (light) + salad,115.6,16.1,45.6,594.6,9.5,732.6,Thareed (lean beef + veg),71.9,6.7,27.7,509.3,3.4,317.9,Harees (light) + salad,35.6,22.7,37.2,264.1,4.2,303.5,Egg shakshouka + bread,49.5,21.5,37.3,591.0,8.0,931.9,272.6,67.1,147.9,1959.0,25.1,2285.9,,,Fallback plan.
P01,Week_2026_37,Ful medames + tamees,73.4,17.1,46.2,669.7,7.4,473.7,Balila cup (chickpeas),47.6,9.5,35.0,513.4,7.9,670.8,Grilled Hammour + rice + salad,77.4,31.3,22.6,247.3,6.3,620.2,Labneh + cucumbers + olives + bread,43.4,9.5,36.4,352.6,9.7,369.8,241.8,67.4,140.2,1783.0,31.3,2134.4,,,Fallback plan.
P01,Week_2026_38,Grilled Hammour + rice + salad,58.0,19.9,18.0,615.2,5.6,366.9,Labneh + cucumbers + olives + bread,73.9,7.7,28.8,553.3,14.5,554.2,Tuna salad + lemon + olive oil,45.2,11.6,58.7,328.6,5.7,621.3,Margoog (light) + salad,57.5,25.8,42.7,523.9,4.4,574.1,234.5,65.1,148.2,2021.0,30.2,2116.5,,,Fallback plan.
P01,Week_2026_39,Jareesh with laban,60.3,18.6,44.0,553.8,6.4,567.2,Ful medames + tamees,65.4,10.5,26.4,405.9,8.6,543.1,Balila cup (chickpeas),61.2,18.0,41.1,572.9,6.0,436.7,Grilled Hammour + rice + salad,66.0,21.7,24.3,618.5,4.8,627.1,252.8,68.9,135.7,2151.0,25.8,2174.1,,,Fallback plan.
P01,Week_2026_40,Masoub (banana+dates+milk),54.5,13.9,40.1,412.7,6.2,538.7,Chicken Kabsa (lean rice),63.1,16.1,34.6,621.4,6.3,376.0,Jareesh with laban,49.0,26.0,33.1,783.6,5.7,428.8,Ful medames + tamees,86.8,11.2,29.7,501.3,7.6,824.5,253.4,67.2,137.4,2319.0,25.9,2168.0,,,Fallback plan.
P01,Week_2026_41,Labneh + cucumbers + olives + bread,91.8,19.8,15.3,154.7,6.5,592.8,Tuna salad + lemon + olive oil,64.4,10.9,54.3,540.6,8.2,562.3,Margoog (light) + salad,49.1,22.6,50.0,450.7,8.2,385.5,Thareed (lean beef + veg),73.3,19.2,16.6,605.0,8.2,772.0,278.6,72.6,136.2,1751.0,31.0,2312.6,,,Fallback plan.
P01,Week_2026_42,Balila cup (chickpeas),107.3,20.0,39.9,538.0,9.5,384.3,Grilled Hammour + rice + salad,47.2,17.4,31.6,520.7,4.9,381.3,Labneh + cucumbers + olives + bread,79.9,13.4,38.3,680.3,3.6,786.4,Tuna salad + lemon + olive oil,52.5,12.1,27.8,326.0,10.7,712.0,286.9,62.9,137.6,2065.0,28.8,2264.0,,,Fallback plan.
P01,Week_2026_43,Ful medames + tamees,80.4,20.2,37.4,749.3,3.5,718.0,Balila cup (chickpeas),84.4,9.3,32.4,286.5,7.2,373.0,Grilled Hammour + rice + salad,36.0,11.2,43.0,475.1,3.5,598.1,Labneh + cucumbers + olives + bread,52.6,18.7,28.3,711.1,12.3,424.6,253.4,59.5,141.1,2222.0,26.5,2113.7,,,Fallback plan.
P01,Week_2026_44,Tuna salad + lemon + olive oil,97.1,17.2,45.7,491.9,8.8,771.4,Margoog (light) + salad,38.7,10.2,31.4,422.6,6.5,483.7,Thareed (lean beef + veg),84.1,19.3,34.5,716.3,8.2,412.9,Harees (light) + salad,56.0,14.9,22.8,614.2,4.1,526.9,275.8,61.6,134.4,2245.0,27.7,2195.0,,,Fallback plan.
P01,Week_2026_45,Jareesh with laban,68.3,19.6,62.2,327.9,7.0,537.7,Ful medames + tamees,70.7,12.3,22.5,863.8,7.1,737.0,Balila cup (chickpeas),59.3,21.0,19.6,281.1,9.1,716.2,Grilled Hammour + rice + salad,71.1,18.9,41.1,913.3,5.2,314.7,269.4,71.8,145.4,2386.0,28.3,2305.6,,,Fallback plan.
P01,Week_2026_46,Masoub (banana+dates+milk),93.8,7.6,25.6,448.0,10.1,737.2,Chicken Kabsa (lean rice),24.5,16.7,35.2,591.3,4.6,686.9,Jareesh with laban,83.5,20.2,33.7,362.6,4.9,189.3,Ful medames + tamees,77.2,31.1,40.8,366.1,13.3,724.0,279.0,75.6,135.3,1768.0,32.9,2337.4,,,Fallback plan.
P01,Week_2026_47,Tuna salad + lemon + olive oil,65.8,8.1,44.7,570.4,3.5,713.6,Margoog (light) + salad,103.7,9.5,41.9,464.0,9.3,465.3,Thareed (lean beef + veg),82.7,25.1,28.3,508.7,7.5,612.6,Harees (light) + salad,40.3,21.9,23.4,554.8,9.4,512.3,292.5,64.5,138.3,2098.0,29.8,2303.8,,,Fallback plan.
P01,Week_2026_48,Jareesh with laban,53.6,25.7,39.9,542.8,4.6,445.8,Ful medames + tamees,88.0,7.2,20.1,391.4,8.8,678.0,Balila cup (chickpeas),95.4,18.5,44.0,274.8,9.1,704.1,Grilled Hammour + rice + salad,27.0,13.5,46.0,716.1,7.5,412.3,264.0,64.9,150.0,1925.0,30.0,2240.2,,,Fallback plan.
P02,Week_2025_46,"07:30–09:30 — Breakfast: whole-wheat tamees (110 g), feta (78 g), apple (97 g), black tea (249 ml)",70.8,19.9,22.2,1350.4,8.9,551.1,"12:30–14:30 — Lunch: saleeq (286 g) + chicken breast (161 g), cucumber sticks (129 g), mint tea (236 ml)",73.8,13.1,62.3,841.4,2.1,662.3,"17:00–18:30 — Snack: hummus (132 g) with whole-wheat tamees (80 g), dates (84 g)",121.1,14.1,20.5,670.5,19.4,693.3,"20:00–22:00 — Dinner: grilled white fish (193 g), okra stew (129 g), pickles (23 g), kubz arabi (117 g)",76.5,8.6,63.4,1209.2,7.1,637.0,342.2,55.7,168.4,4071.5,37.5,2543.7,Underweigh,beginner,"Persona P02: goal=muscle gain, level=Beginner, training=4, budget=. Approx daily energy target ≈ 2544 kcal. Hydrate well; prefer laban/water. Keep sodium moderate; adjust portions around training days."
P02,Week_2025_47,Chicken Kabsa (lean rice),28.0,11.9,32.1,384.1,7.2,218.8,Jareesh with laban,88.9,17.5,27.3,327.8,2.8,673.8,Ful medames + tamees,25.9,12.4,22.6,580.4,6.5,488.2,Balila cup (chickpeas),50.4,10.9,27.1,681.6,8.5,304.1,193.2,52.8,109.2,1974.0,25.1,1684.9,,,Fallback plan.
P02,Week_2025_48,Grilled Hammour + rice + salad,43.3,13.2,17.1,436.3,8.0,260.5,Labneh + cucumbers + olives + bread,51.0,8.4,57.7,528.5,10.5,329.4,Tuna salad + lemon + olive oil,51.3,16.8,21.1,463.6,7.6,556.4,Margoog (light) + salad,31.9,12.7,20.5,642.6,6.2,490.2,177.5,51.2,116.4,2071.0,32.3,1636.5,,,Fallback plan.
P02,Week_2025_49,Jareesh with laban,52.6,12.9,47.1,564.0,9.3,428.5,Ful medames + tamees,32.9,6.4,14.9,440.2,8.9,309.8,Balila cup (chickpeas),31.3,16.0,28.5,596.2,4.2,443.9,Grilled Hammour + rice + salad,68.9,16.5,19.9,463.6,9.0,467.8,185.7,51.8,110.3,2064.0,31.3,1650.0,,,Fallback plan.
P02,Week_2025_50,Margoog (light) + salad,31.8,16.2,17.6,319.2,6.6,575.9,Thareed (lean beef + veg),56.9,9.3,25.0,376.3,10.8,339.9,Harees (light) + salad,27.4,12.5,46.2,532.3,5.8,291.8,Egg shakshouka + bread,68.3,5.6,23.5,594.2,4.1,372.7,184.4,43.7,112.3,1822.0,27.3,1580.3,,,Fallback plan.
P02,Week_2025_51,Balila cup (chickpeas),43.5,8.0,16.0,615.9,4.5,383.3,Grilled Hammour + rice + salad,64.3,13.2,46.5,459.6,7.3,431.7,Labneh + cucumbers + olives + bread,50.8,12.5,20.2,542.7,6.2,248.2,Tuna salad + lemon + olive oil,39.7,11.3,24.2,508.8,7.0,561.7,198.2,45.0,106.8,2127.0,25.0,1624.9,,,Fallback plan.
P02,Week_2025_52,Chicken Kabsa (lean rice),20.2,12.9,15.8,228.4,7.4,460.4,Jareesh with laban,50.3,13.5,31.2,673.3,9.0,288.9,Ful medames + tamees,49.2,13.3,25.2,550.2,7.0,467.1,Balila cup (chickpeas),46.7,6.8,38.8,372.1,9.5,311.8,166.4,46.5,111.0,1824.0,32.8,1528.3,,,Fallback plan.
P02,Week_2026_01,Balila cup (chickpeas),50.6,8.8,25.1,188.0,6.7,229.6,Grilled Hammour + rice + salad,55.3,15.3,44.4,787.9,6.0,289.8,Labneh + cucumbers + olives + bread,39.5,15.5,35.3,722.3,8.5,443.3,Tuna salad + lemon + olive oil,28.6,6.4,11.4,345.8,9.2,611.6,174.1,45.9,116.2,2044.0,30.5,1574.3,,,Fallback plan.
P02,Week_2026_02,Grilled Hammour + rice + salad,26.9,14.4,23.5,426.1,6.9,416.1,Labneh + cucumbers + olives + bread,40.3,11.6,27.1,354.8,4.3,439.3,Tuna salad + lemon + olive oil,82.1,9.4,30.1,380.7,5.8,270.0,Margoog (light) + salad,54.6,13.0,22.8,444.4,15.9,538.9,203.9,48.3,103.5,1606.0,32.9,1664.2,,,Fallback plan.
P02,Week_2026_03,Masoub (banana+dates+milk),88.1,18.5,21.4,343.8,8.9,330.2,Chicken Kabsa (lean rice),39.0,10.6,20.1,519.1,7.2,511.6,Jareesh with laban,26.7,9.0,29.8,318.0,9.2,484.5,Ful medames + tamees,52.9,10.5,33.7,373.1,9.2,358.9,206.7,48.7,105.0,1554.0,34.4,1685.1,,,Fallback plan.
