user id,Week number,1st_meal,1st_meal_carbs_g,1st_meal_fat_g,1st_meal_protein_g,1st_meal_fiber_g,1st_meal_sodium_mg,1st_meal_kcal_target_kcal,2nd_meal,2nd_meal_carbs_g,2nd_meal_fat_g,2nd_meal_protein_g,2nd_meal_fiber_g,2nd_meal_sodium_mg,2nd_meal_kcal_target_kcal,3rd_meal,3rd_meal_carbs_g,3rd_meal_fat_g,3rd_meal_protein_g,3rd_meal_fiber_g,3rd_meal_sodium_mg,3rd_meal_kcal_target_kcal,4th_meal,4th_meal_carbs_g,4th_meal_fat_g,4th_meal_protein_g,4th_meal_fiber_g,4th_meal_sodium_mg,4th_meal_kcal_target_kcal,Total_kcal_target_kcal,Total_carbs_g,Total_fat_g,Total_protein_g,Total_fiber_g,Total_sodium_mg,Note
P01,2026-W08,Ful Medames (200g fava beans) with 1 whole wheat khubz (60g) and 1 boiled egg (50g) with 1 tablespoon of tahini (15g),80,20,30,15,500,600,Hummus (100g) with carrot sticks (100g) and 1 whole wheat khubz (60g),40,10,10,10,300,300,"Chicken Kabsa (150g chicken, 200g rice, 100g mixed vegetables)",100,30,50,5,700,850,"Mujadara (200g lentils, 100g rice) with 1 tablespoon of fried onions (10g) and a side of salad (100g)",90,9,40,10,200,740,2492,312,69,156,30,1200,Breakfast
P01,2026-W09,"Shakshuka (2 eggs, 200g tomatoes, 50g bell peppers, 10g olive oil) with 1 whole wheat khubz (60g)",50,30,25,10,800,550,Roasted Chicken Thighs (150g) with 150g of Quinoa and 100g of Mixed Vegetables,70,30,50,8,400,700,"Lentil Soup (200g lentils, 50g carrots, 50g onions) with 1 whole wheat khubz (60g)",70,10,25,12,600,500,Grilled Lamb Chops (150g) with 100g of Sautéed Spinach and 100g of Brown Rice,60,20,51,5,400,664,2414,302,67,151,30,2200,One-day meal plan with Saudi dishes for muscle gain.
P01,2026-W10,"Labneh (150g) with 1 whole wheat khubz (60g) and 100g of cucumber slices, topped with za'atar (5g)",50,20,15,5,250,400,Dates (100g) and a handful of mixed nuts (30g),70,15,5,8,2,300,Grilled Fish (150g) with 150g of Farro and a side of Fattoush Salad (100g),90,30,45,10,500,800,Beef Kofta (150g) with 200g of Couscous and 100g of Steamed Broccoli,103,24,91,2,48,995,2495,313,69,156,25,800,Breakfast
P01,2026-W11,Ful Medames (200g) with 1 whole wheat khubz (60g) and a boiled egg (50g),75,18,25,15,600,580,Grilled Chicken Shawarma (150g) with 100g of Hummus and 100g of Tabouli,50,30,55,10,800,700,Mandi Rice (150g) with Lamb (150g) and a side of Tomato Salad (100g),100,35,55,5,600,850,Dates (50g) with 30g of Walnuts,41.4,17.5,23,5,350,391,2521,316.4,70.5,158,30,1350,One-day meal plan focused on muscle gain with Saudi cuisine.
P01,2026-W12,"Shakshuka (2 eggs, 200g tomatoes, 50g onion, 10g olive oil) with 1 whole wheat khubz (60g)",60,30,20,5,500,600,Roasted Chickpeas (100g) and 1 small Arabic bread (60g),55,8,15,10,300,400,"Kabsa with Chicken (200g chicken, 150g rice, spices, and vegetables)",120,25,50,7,600,900,"Fruit salad with 100g mixed fruits (banana, apple, orange) and 15g honey",60,1,2,3,100,300,2469,310,68,154,25,1500,Breakfast
P01,2026-W13,Ful Medames (200g) with 1 whole wheat khubz (60g) and a boiled egg (50g),70,15,25,15,600,550,Hummus (100g) with 1 small Arabic bread (60g) and cucumber slices (100g),50,15,12,5,300,400,Grilled Chicken Thigh (200g) with Quinoa (150g) and mixed vegetables (100g),80,25,45,10,400,800,Dates (30g) with 20g of Almonds and a small piece of Dark Chocolate (10g),50,15,8,5,100,400,2537,317,70,158,25,800,Breakfast
P01,2026-W14,Fattoush Salad (200g) with Grilled Halloumi (100g),75,20,25,8,400,640,Labneh (100g) with 2 whole wheat khubz (120g),40,15,20,5,300,350,Grilled Lamb Kofta (150g) with Brown Rice (150g) and Steamed Broccoli (100g),80,35,40,10,500,850,Maqlooba (200g) with Chicken and Mixed Vegetables,90,10,35,6,600,719,640,75,20,25,8,400,Breakfast
P01,2026-W15,Shakshuka (2 eggs) with whole wheat khubz (100g) and a side of sliced cucumbers (100g),50,20,25,8,600,550,"Date and Almond Energy Balls (4 pieces - 30g dates, 20g almonds, 10g dark chocolate)",30,12,5,4,1,250,"Chicken Kabsa (200g chicken, 150g basmati rice, mixed vegetables 100g)",90,25,60,6,800,800,Grilled Fish (150g) with a side of roasted sweet potatoes (150g) and steamed spinach (100g),70,12,50,17,100,600,2492,304,69,156,35,1500,Start the day with a traditional Saudi breakfast.
P01,2026-W16,Ful Medames (200g) with 1 whole wheat khubz (60g) and a side of sliced tomatoes (100g),75,10,25,15,500,550,Roasted Chickpeas (50g) with a sprinkle of cumin and paprika,30,8,10,10,200,250,Grilled Chicken Thigh (200g) with a side of Mujadara (150g) and a green salad (100g),90,30,50,8,600,800,"Qatayef (3 pieces, 150g) with walnuts and a drizzle of honey",35,12,5,2,100,300,2424,303,67,152,30,1200,Breakfast
P01,2026-W17,Foul Medames (250g) with 1 whole wheat khubz (60g) and a side of sliced cucumbers (100g),80,18,21,8,350,606,"Date and Almond Energy Balls (3 pieces - 25g dates, 15g almonds, 5g dark chocolate)",28,10,3,2,1,210,Lentil Soup (300g) with a side of brown rice (100g) and a mixed green salad (100g),115,15,30,12,600,760,"Beef Kabsa (150g beef, 150g basmati rice, mixed vegetables 100g)",105,25,38,5,700,848,606,80,18,21,8,350,Breakfast
P01,2026-W18,"Shakshuka (2 eggs, 200g tomatoes, 50g bell peppers, spices) with 1 whole wheat khubz (60g)",60,20,24,10,400,550,Greek yogurt (200g) with honey (10g) and 30g walnuts,20,30,20,5,50,400,Grilled Chicken Shawarma (200g chicken) with 100g brown rice and 100g tabbouleh salad,80,20,45,8,600,700,Baked Fish (150g) with 100g roasted vegetables and 100g couscous,90,20,40,7,750,800,2424,300,60,152,30,800,Breakfast with high protein and complex carbs
P01,2026-W19,"Hummus (100g) with 2 whole wheat khubz (120g) and a side of sliced vegetables (cucumbers, carrots, bell peppers - 150g)",90,15,20,10,300,600,"Stuffed Bell Peppers (200g bell peppers filled with 100g minced beef, 50g rice, and spices)",70,30,45,8,400,700,Grilled Lamb Kofta (150g) served with 100g couscous and a side of mixed salad (100g),70,40,50,5,500,800,"Date Smoothie (5 dates, 250ml milk, and a tablespoon of almond butter)",80,12,10,2,0,369,2469,310,69,154,25,1200,Breakfast
P01,2026-W20,Foul Medames (200g) with 2 whole wheat khubz (120g) and a side of sliced tomatoes (100g),85,15,25,20,800,600,Sliced Apple (150g) with 30g Roasted Almonds,40,15,10,7,0,300,"Chicken Kabsa (250g chicken, 150g rice, spices) with a side of mixed salad (100g)",120,30,60,5,900,900,Labneh (150g) with 3 pieces of Khubz (90g) and a side of olives (50g),65,9,59,3,300,669,2469,310,69,154,30,2000,Start of the day with a traditional Saudi breakfast.
P01,2026-W21,"Shakshuka (2 eggs, 100g tomatoes, 50g bell peppers, spices) served with 2 whole wheat khubz (120g)",60,20,20,8,500,550,Greek Yogurt (200g) with 1 tbsp honey and 50g walnuts,30,30,15,5,100,450,"Chicken Jereesh (200g chicken, 150g crushed wheat, spices) with a side of mixed salad (100g)",90,20,60,7,600,800,Luqaimat (6 pieces) with date syrup (30g),113,10,5,5,0,624,2424,293,67,152,25,1200,Breakfast with traditional flavors.
P01,2026-W22,Ful Medames (200g) with 2 whole wheat khubz (120g) and a side of sliced cucumbers (100g),80,12,20,15,800,500,Hummus (100g) with 50g carrot sticks,30,10,8,5,300,250,Grilled Lamb Kebab (150g) with 150g rice and grilled vegetables (100g),100,35,45,5,600,900,"Date Smoothie (3 dates, 200ml milk, 30g protein powder)",75,5,25,5,100,400,2559,319,71,160,25,1200,Breakfast
P01,2026-W23,Foul Medames (200g) with 1 whole wheat khubz (60g) and a side of sliced cucumbers (100g) topped with olive oil (10g),90,20,25,15,600,650,Roasted Chickpeas (50g) and a small apple (150g),40,5,10,8,0,250,"Chicken Kabsa (200g chicken, 150g rice, spices, and a side of mixed salad (100g))",110,30,60,5,800,900,Labneh (200g) with 1 whole wheat khubz (60g) and olives (30g),40,15,40,2,200,600,2514,315,70,157,20,1200,Breakfast
P01,2026-W24,"Shakshuka (2 eggs, 100g tomatoes, 50g bell pepper) with 1 whole wheat khubz (60g)",84,21,23,6,350,628,Mixed Nuts (30g) and 1 small banana (100g),36,13,6,3,1,250,"Mandi (150g chicken, 150g rice, spices, and 100g mixed salad)",100,20,50,5,600,800,"Date (3 pieces, approx 60g) with 200ml milk",80,5,15,5,100,500,628,84,21,23,6,350,Breakfast
P01,2026-W25,Hummus (150g) with 1 whole wheat khubz (60g) and sliced carrots (100g),60,20,15,10,600,500,Grilled Chicken Skewers (150g) with Tabbouleh (100g),40,25,50,8,500,600,"Quinoa Salad (150g quinoa, 100g mixed vegetables, 30g feta cheese)",90,20,25,12,400,700,Beef Kofta (200g) with 100g of roasted potatoes and a side of yogurt (100g),25,20,69,5,300,737,2537,315,70,159,25,1500,Breakfast
P01,2026-W26,Foul Medames (200g) with 1 whole wheat khubz (60g) and 1 boiled egg (50g),76,18,24,5,400,611,Labneh (100g) with sliced cucumbers (100g) and whole wheat pita (60g),38,12,10,3,300,300,"Chicken Kabsa (150g chicken, 150g rice, spices, and 100g mixed salad)",90,20,45,4,600,800,"Dates (4 pieces, approx 80g) with 250ml low-fat milk",95,10,25,7,200,735,611,76,18,24,5,400,Breakfast
P01,2026-W27,"Shakshuka (2 eggs, 200g tomatoes, 50g bell peppers, 20g onions) with 1 whole wheat khubz (60g)",60,24,24,12,400,550,Roasted Chickpeas (100g) with mixed spices,45,5,15,10,200,300,"Mandi (150g chicken, 150g basmati rice, spices) with 100g mixed salad",100,25,40,5,600,800,Fruit Salad (200g mixed fruits) with 30g yogurt,50,10,10,3,100,300,2559,318,64,159,30,800,Breakfast with high protein and fiber
P01,2026-W28,Ful Medames (200g) with 2 whole wheat khubz (120g) and 1 boiled egg (50g),88,16,25,15,600,700,Sliced cucumbers (100g) with 100g labneh and a sprinkle of za'atar,10,9,8,2,200,150,Chicken Shawarma (150g chicken) with 100g whole wheat pita and 50g garlic sauce,70,40,50,5,900,800,"Date Smoothie with 4 dates (80g), 250ml low-fat milk, and a pinch of cinnamon",70,5,15,3,100,350,2492,312,69,156,25,800,Breakfast
P01,2026-W29,"Eggs with Za'atar and Olive Oil (3 eggs, 10g za'atar, 10g olive oil) with 1 whole wheat khubz (60g)",40,40,30,5,300,550,Hummus (100g) with Carrot Sticks (100g) and 1 whole wheat khubz (60g),60,15,15,10,400,450,Grilled Lamb Kebab (150g) with 150g brown rice and 100g grilled vegetables,90,30,50,8,600,800,"Date and Almond Energy Balls (4 dates, 20g almonds, 10g coconut) with a glass of low-fat milk (250ml)",50,10,10,5,100,350,2559,320,65,160,20,800,Breakfast
P01,2026-W30,"Shakshuka (3 eggs, 100g tomatoes, 50g bell peppers, 10g olive oil) with 1 whole wheat khubz (60g)",60,30,25,8,600,550,"Fattoush Salad (100g mixed greens, 50g tomatoes, 30g cucumber, 20g radish, 10g olive oil, 30g whole wheat pita)",50,20,10,8,300,450,Roasted Chicken (200g) with 200g quinoa and 100g steamed broccoli,80,20,60,12,500,750,"Date Smoothie (5 dates, 250ml low-fat milk, 20g whey protein) with 20g almonds",70,8,44,10,600,800,2559,301,78,139,38,2000,One-day meal plan using Saudi foods for muscle gain.
P01,2026-W31,"Ful Medames (200g cooked fava beans, 20g tahini, 10g olive oil, 50g onions) with 1 whole wheat khubz (60g)",85,20,25,15,500,600,"Chicken Kabsa (200g chicken, 150g basmati rice, 100g mixed vegetables, 10g ghee)",90,30,50,5,800,800,Grilled Lamb Kofta (200g) with 100g couscous and 100g tabbouleh salad,60,40,50,8,600,700,"Date and Almond Energy Balls (5 dates, 30g almonds, 20g whey protein) with 250ml low-fat milk",50,10,25,2,100,400,2500,290,75,150,30,2000,One-day Saudi-style meal plan for muscle gain.
P01,2026-W32,"Shakshuka (2 large eggs, 100g tomatoes, 50g bell peppers, 10g olive oil) with 1 whole wheat khubz (60g)",40,25,20,8,600,400,"Lentil Soup (200g cooked lentils, 100g carrots, 50g onions, 10g olive oil) with 1 whole grain khubz (60g)",70,15,25,12,800,500,"Grilled Chicken Shawarma (200g chicken, 100g garlic sauce, 100g mixed salad) with 1 whole wheat pita (60g)",50,30,40,6,900,600,"Fattoush Salad (100g mixed greens, 30g radish, 50g cucumbers, 10g pomegranate, 20g olive oil) with 30g Arabic bread",40,25,10,4,200,400,2500,320,90,130,30,2500,One-day Saudi-style meal plan for muscle gain. Meals diversified from previous week.
P01,2026-W33,"Ful Medames (200g fava beans, 20g tahini, 20g olive oil, 50g tomatoes) with 1 whole wheat khubz (60g)",80,25,20,15,600,550,"Chicken Kabsa (200g chicken, 100g basmati rice, 50g carrots, 10g ghee)",90,30,40,5,800,700,"Grilled Lamb Kebabs (200g lamb, 10g spices) with 1 whole wheat pita (60g) and 100g garlic sauce",60,40,60,2,900,800,"Date and Nut Energy Balls (100g dates, 50g walnuts, 10g cocoa powder)",80,15,10,8,200,450,2500,290,80,150,35,3000,One-day Saudi-style meal plan for muscle gain.
P01,2026-W34,"Shakshuka (2 eggs, 100g tomatoes, 20g olive oil, 30g bell peppers) with 1 whole wheat khubz (60g)",45,30,20,8,600,450,"Chicken Shawarma (150g chicken, 50g whole wheat pita, 50g garlic sauce, 50g cucumbers)",50,25,40,5,900,550,"Grilled Fish (200g salmon) with 150g quinoa and 100g mixed vegetables (carrots, green beans)",60,35,50,10,500,700,"Date Smoothie (100g dates, 200ml low-fat milk, 30g protein powder, 1 banana)",75,5,45,17,500,800,2500,310,80,160,40,2500,One-day meal plan for muscle gain using Saudi foods.
P01,2026-W35,Foul Medames (200g cooked fava beans) with 1 whole wheat khubz (60g) and 20g tahini,60,20,20,15,500,450,"Grilled Chicken Kabsa (200g chicken, 150g basmati rice, spices) with 100g salad",90,25,50,5,800,700,Luqaimat (100g) with 30g honey and 20g sesame seeds,70,15,10,2,300,500,Greek yogurt (200g) with 100g mixed nuts and 100g dates,80,40,40,13,900,850,2500,300,80,150,35,2500,One-day Saudi-style meal plan for muscle gain.
P01,2026-W36,"Shakshuka (2 eggs) with 100g tomatoes and 50g bell peppers, served with 1 whole wheat khubz (60g)",40,20,20,8,600,400,Grilled Lamb Kebab (200g) with 150g brown rice and 100g grilled vegetables,70,40,50,10,800,800,Hummus (100g) with 100g carrot sticks and 50g cucumber,30,10,10,6,400,250,"Date and Walnut Smoothie (30g dates, 20g walnuts, 200ml low-fat milk) with 20g protein powder",50,20,30,5,300,450,2500,330,80,150,35,2500,One-day Saudi-style meal plan for muscle gain.
P01,2026-W37,Foul Medames (200g) served with 1 whole wheat khubz (60g) and 1 boiled egg,70,20,25,15,900,550,Chicken Kabsa (250g) with 150g basmati rice and a side of 100g salad,90,30,50,5,1200,800,Labneh (100g) with 100g cucumber sticks and 30g olives,15,20,15,4,600,300,"Date Smoothie (40g dates, 20g almonds, 250ml low-fat milk) with 30g protein powder",80,20,60,11,800,850,2500,290,70,150,35,2500,One-day meal plan focusing on muscle gain with Saudi foods.
P01,2026-W38,Shakshuka (2 eggs cooked in tomato sauce) served with 1 whole wheat khubz (60g),40,20,20,8,800,400,Grilled Chicken Tawook (200g) with 150g of whole wheat pita and 100g of tabbouleh salad,70,20,50,10,900,600,Hummus (100g) with 100g carrot sticks and 100g of whole grain crackers,60,15,10,12,600,450,Biryani (200g) with 150g of chicken and a side of 100g of yogurt,150,25,60,10,200,1050,2500,330,70,150,40,2500,One-day Saudi-style meal plan for muscle gain
P01,2026-W39,Foul Medames (200g) served with 1 whole wheat khubz (60g) and a small side of pickles (50g),72,15,20,18,800,500,Grilled Lamb Kebabs (150g) with 100g of saffron rice and a side of grilled vegetables (100g),80,35,45,10,600,700,Labneh (150g) with 100g of cucumber sticks and 50g of whole grain crackers,45,20,20,5,600,400,Chicken Kabsa (200g) with a small side of yogurt (100g) and a small salad (100g),110,10,60,7,400,900,2500,305,80,145,30,2000,One-day meal plan designed for muscle gain using Saudi foods.
P01,2026-W40,Shakshuka (2 eggs) served with 1 whole wheat khubz (60g) and 100g of sautéed spinach,45,22,22,8,800,450,Grilled Chicken Thighs (200g) with 150g of brown rice and a small side of roasted carrots (100g),70,20,40,6,900,600,Hummus (150g) with 100g of carrot sticks and 50g of whole grain pita,50,15,10,10,500,400,Beef Kabsa (200g) with 100g of mixed salad and 100g of yogurt,125,23,55,11,1300,1050,2500,290,80,160,35,3500,One-day meal plan using mostly Saudi foods.
P01,2026-W41,Ful Medames (300g) served with 1 whole wheat khubz (60g) and 50g of pickled vegetables,90,15,25,20,800,600,Grilled Lamb Kebab (200g) with 150g of couscous and a side of grilled vegetables (100g),80,30,50,10,1000,700,Tabbouleh salad (150g) with 150g of grilled chicken breast and 50g of whole grain pita,50,15,55,15,600,650,Chicken Shawarma (200g) with 100g of garlic sauce and 100g of mixed salad,50,10,40,5,1000,550,2500,320,70,180,40,2500,One-day meal plan focused on muscle gain with Saudi foods.
P01,2026-W42,Shakshuka (2 eggs) with 100g of whole grain bread and 50g of feta cheese,55,25,20,10,800,500,"Chicken Kabsa (200g chicken, 150g rice, mixed spices) with 100g of mixed salad",85,20,50,5,1200,700,Grilled Salmon (150g) with 200g of steamed vegetables and 100g of quinoa,65,25,40,8,600,600,Ful Medames (200g) served with 1 whole wheat khubz (60g) and 50g of pickled vegetables,90,15,30,12,800,700,2500,350,80,150,35,4000,One-day Saudi-style meal plan for muscle gain.
P01,2026-W43,Foul Medames (250g) with 1 whole wheat khubz (60g) topped with olive oil and lemon juice,80,15,25,15,800,550,Chicken Shawarma (150g chicken) in 1 whole wheat pita bread (60g) with garlic sauce and pickles,70,20,40,5,900,600,Lentil Soup (300g) served with 1 piece of brown bread (50g) and a side of mixed salad (100g),80,10,20,10,600,500,Grilled Lamb Kebabs (150g) with 200g of roasted vegetables and 100g of couscous,60,25,55,5,700,850,2500,310,70,150,30,3000,One-day meal plan for muscle gain using mostly Saudi foods.
P01,2026-W44,"Shakshuka with 3 eggs, tomatoes, and bell peppers served with 1 whole wheat khubz (60g)",40,30,20,8,800,450,Grilled Chicken Kabsa (200g chicken with rice) served with a side of yogurt (100g),100,30,50,5,1000,800,"Mujadara (lentils and rice, 300g) with a side of mixed vegetables (150g)",90,10,30,15,600,600,Beef Kofta (150g) with 200g tabbouleh salad and 1 whole wheat pita (60g),70,20,40,10,600,650,2500,320,70,160,45,3000,One-day meal plan using mostly Saudi foods for muscle gain.
P01,2026-W45,Foul Medames (200g) with 2 boiled eggs and 1 whole wheat khubz (60g),65,20,30,15,800,550,Chicken Shawarma (200g) wrapped in whole wheat pita (60g) with tahini sauce and cucumbers,70,30,40,10,900,700,Lentil Soup (300g) with a side of Brown Rice (150g) and a small salad,90,15,25,12,600,600,Grilled Fish (200g) with a side of Roasted Vegetables (150g) and Quinoa (100g),60,15,50,8,200,650,2500,300,70,150,40,2500,One-day meal plan for muscle gain with Saudi foods
P01,2026-W46,Shakshuka (2 eggs) with whole wheat khubz (60g) and a side of olives (30g),40,25,20,8,800,450,Kabsa with Chicken (200g) and mixed vegetables (150g),90,20,40,10,900,700,Hummus (100g) with whole wheat pita (60g) and carrot sticks (100g),50,15,15,10,500,400,Grilled Lamb Kebab (200g) with a side of Tabbouleh (150g),40,35,55,12,300,950,2500,310,75,150,40,2500,One-day Saudi-style meal plan for muscle gain.
P01,2026-W47,Foul Medames (200g) with whole wheat khubz (90g) and a side of cucumber (100g),90,10,25,15,800,550,Chicken Shawarma wrap (150g chicken) with garlic sauce and vegetables in whole wheat wrap (100g),70,30,50,8,1200,700,Mujadara (150g) with a side of yogurt (100g) and a small salad (50g),70,10,15,12,600,450,Grilled Chicken Kebabs (200g) with a side of rice (100g) and grilled vegetables (150g),70,30,60,5,400,800,2500,300,80,160,40,3000,One-day meal plan using mostly Saudi foods for muscle gain
